cat-cow	ท่า cat cow คนท้อง	prenatal cat cow
breathing-9090	การหายใจ 90/90 กะบังลม	90/90 breathing pregnancy
Goblet Squat to Box	กอบเลตสควอต กล่อง	goblet squat to box pregnancy
DB RDL	ฮิปฮินจ์ ดัมบเบล คนท้อง	pregnancy dumbbell RDL
Band Row	ดึงยางแรงต้าน แถว คนท้อง	resistance band row pregnancy
Pallof Press	พาลอฟเพรส คนท้อง	pallof press pregnancy
Thread the Needle	โยคะ thread the needle คนท้อง	thread the needle prenatal
Calf Stretch	ยืดน่อง คนท้อง	calf stretch pregnancy
Kegels	คีเกล คนท้อง	kegel pregnancy
Treadmill Incline	เดินลู่วิ่ง คนท้อง	prenatal treadmill incline
Hip Flexor Stretch	ยืดสะโพก ครึ่งคุกเข่า คนท้อง	half kneeling hip flexor stretch pregnancy
Stationary Bike	ปั่นจักรยานอยู่กับที่ คนท้อง	stationary bike pregnancy
Incline DB Press	ดัมบเบลเพรส ม้านั่งเอียง คนท้อง	incline dumbbell press pregnancy
Supported Split Squat	สปริทสควอต มีพยุง คนท้อง	supported split squat pregnancy
Suitcase Carry	ซูตเคสแครรี คนท้อง	suitcase carry pregnancy
Bird Dog	เบิร์ดด็อก คนท้อง	bird dog pregnancy
Side Plank Knees	แพลงก์ด้านข้าง งอเข่า คนท้อง	side plank pregnancy
